angleX = 81.72 | angleY = 8.67 | angleZ = 87.63
angleX = 93.68 | angleY = 3.69 | angleZ = 90.71
inclinacaoX = 3.68 | inclinacaoY = -86.31 | inclinacaoZ = 0.71

angleX = 92.40 | angleY = 2.45 | angleZ = 90.73
inclinacaoX = 2.40 | inclinacaoY = -87.55 | inclinacaoZ = 0.73

angleX = 92.93 | angleY = 2.92 | angleZ = 89.59
inclinacaoX = 2.93 | inclinacaoY = -87.08 | inclinacaoZ = -0.41

angleX = 93.00 | angleY = 2.97 | angleZ = 90.38
inclinacaoX = 3.00 | inclinacaoY = -87.03 | inclinacaoZ = 0.38

angleX = 93.96 | angleY = 4.08 | angleZ = 91.18
inclinacaoX = 3.96 | inclinacaoY = -85.92 | inclinacaoZ = 1.18

angleX = 93.93 | angleY = 3.89 | angleZ = 90.00
inclinacaoX = 3.93 | inclinacaoY = -86.11 | inclinacaoZ = 0.00

angleX = 92.78 | angleY = 2.74 | angleZ = 90.18
inclinacaoX = 2.78 | inclinacaoY = -87.26 | inclinacaoZ = 0.18

angleX = 93.73 | angleY = 3.75 | angleZ = 90.76
inclinacaoX = 3.73 | inclinacaoY = -86.25 | inclinacaoZ = 0.76

angleX = 93.32 | angleY = 3.28 | angleZ = 90.02
inclinacaoX = 3.32 | inclinacaoY = -86.72 | inclinacaoZ = 0.02

angleX = 93.89 | angleY = 4.01 | angleZ = 91.19
inclinacaoX = 3.89 | inclinacaoY = -85.99 | inclinacaoZ = 1.19

angleX = 93.94 | angleY = 3.92 | angleZ = 90.43
inclinacaoX = 3.94 | inclinacaoY = -86.08 | inclinacaoZ = 0.43

angleX = 92.64 | angleY = 2.66 | angleZ = 90.66
inclinacaoX = 2.64 | inclinacaoY = -87.34 | inclinacaoZ = 0.66

angleX = 93.34 | angleY = 3.32 | angleZ = 90.49
inclinacaoX = 3.34 | inclinacaoY = -86.68 | inclinacaoZ = 0.49

angleX = 94.27 | angleY = 4.35 | angleZ = 91.05
inclinacaoX = 4.27 | inclinacaoY = -85.65 | inclinacaoZ = 1.05

angleX = 94.02 | angleY = 3.99 | angleZ = 89.77
inclinacaoX = 4.02 | inclinacaoY = -86.01 | inclinacaoZ = -0.23

angleX = 93.83 | angleY = 3.79 | angleZ = 89.79
inclinacaoX = 3.83 | inclinacaoY = -86.21 | inclinacaoZ = -0.21

angleX = 92.51 | angleY = 2.47 | angleZ = 90.21
inclinacaoX = 2.51 | inclinacaoY = -87.53 | inclinacaoZ = 0.21

angleX = 93.22 | angleY = 3.28 | angleZ = 90.86
inclinacaoX = 3.22 | inclinacaoY = -86.72 | inclinacaoZ = 0.86

angleX = 93.52 | angleY = 3.48 | angleZ = 90.27
inclinacaoX = 3.52 | inclinacaoY = -86.52 | inclinacaoZ = 0.27

angleX = 95.11 | angleY = 5.43 | angleZ = 91.99
inclinacaoX = 5.11 | inclinacaoY = -84.57 | inclinacaoZ = 1.99

angleX = 94.17 | angleY = 4.39 | angleZ = 91.55
inclinacaoX = 4.17 | inclinacaoY = -85.61 | inclinacaoZ = 1.55

angleX = 93.73 | angleY = 4.07 | angleZ = 91.78
inclinacaoX = 3.73 | inclinacaoY = -85.93 | inclinacaoZ = 1.78

angleX = 95.26 | angleY = 5.84 | angleZ = 92.67
inclinacaoX = 5.26 | inclinacaoY = -84.16 | inclinacaoZ = 2.67

angleX = 94.58 | angleY = 4.59 | angleZ = 90.75
inclinacaoX = 4.58 | inclinacaoY = -85.41 | inclinacaoZ = 0.75

angleX = 94.63 | angleY = 4.61 | angleZ = 90.60
inclinacaoX = 4.63 | inclinacaoY = -85.39 | inclinacaoZ = 0.60

angleX = 94.43 | angleY = 4.60 | angleZ = 91.42
inclinacaoX = 4.43 | inclinacaoY = -85.40 | inclinacaoZ = 1.42

angleX = 92.54 | angleY = 2.72 | angleZ = 91.13
inclinacaoX = 2.54 | inclinacaoY = -87.28 | inclinacaoZ = 1.13

angleX = 93.52 | angleY = 3.60 | angleZ = 90.99
inclinacaoX = 3.52 | inclinacaoY = -86.40 | inclinacaoZ = 0.99

angleX = 94.15 | angleY = 4.25 | angleZ = 91.14
inclinacaoX = 4.15 | inclinacaoY = -85.75 | inclinacaoZ = 1.14

angleX = 93.88 | angleY = 3.86 | angleZ = 90.47
inclinacaoX = 3.88 | inclinacaoY = -86.14 | inclinacaoZ = 0.47

angleX = 94.71 | angleY = 4.75 | angleZ = 90.96
inclinacaoX = 4.71 | inclinacaoY = -85.25 | inclinacaoZ = 0.96

angleX = 93.72 | angleY = 3.68 | angleZ = 90.16
inclinacaoX = 3.72 | inclinacaoY = -86.32 | inclinacaoZ = 0.16

angleX = 95.18 | angleY = 5.40 | angleZ = 91.72
inclinacaoX = 5.18 | inclinacaoY = -84.60 | inclinacaoZ = 1.72

angleX = 94.72 | angleY = 4.79 | angleZ = 91.07
inclinacaoX = 4.72 | inclinacaoY = -85.21 | inclinacaoZ = 1.07

angleX = 93.68 | angleY = 3.66 | angleZ = 90.44
inclinacaoX = 3.68 | inclinacaoY = -86.34 | inclinacaoZ = 0.44

angleX = 95.83 | angleY = 5.93 | angleZ = 91.37
inclinacaoX = 5.83 | inclinacaoY = -84.07 | inclinacaoZ = 1.37

angleX = 95.36 | angleY = 5.39 | angleZ = 90.92
inclinacaoX = 5.36 | inclinacaoY = -84.61 | inclinacaoZ = 0.92

angleX = 95.27 | angleY = 5.24 | angleZ = 90.41
inclinacaoX = 5.27 | inclinacaoY = -84.76 | inclinacaoZ = 0.41

angleX = 94.29 | angleY = 4.27 | angleZ = 90.46
inclinacaoX = 4.29 | inclinacaoY = -85.73 | inclinacaoZ = 0.46

angleX = 94.61 | angleY = 4.60 | angleZ = 90.56
inclinacaoX = 4.61 | inclinacaoY = -85.40 | inclinacaoZ = 0.56

angleX = 93.78 | angleY = 3.81 | angleZ = 89.29
inclinacaoX = 3.78 | inclinacaoY = -86.19 | inclinacaoZ = -0.71

angleX = 94.97 | angleY = 4.96 | angleZ = 90.65
inclinacaoX = 4.97 | inclinacaoY = -85.04 | inclinacaoZ = 0.65

angleX = 94.52 | angleY = 4.49 | angleZ = 90.42
inclinacaoX = 4.52 | inclinacaoY = -85.51 | inclinacaoZ = 0.42

angleX = 95.16 | angleY = 5.27 | angleZ = 91.32
inclinacaoX = 5.16 | inclinacaoY = -84.73 | inclinacaoZ = 1.32

angleX = 93.48 | angleY = 3.49 | angleZ = 90.68
inclinacaoX = 3.48 | inclinacaoY = -86.51 | inclinacaoZ = 0.68

angleX = 93.06 | angleY = 3.07 | angleZ = 90.63
inclinacaoX = 3.06 | inclinacaoY = -86.93 | inclinacaoZ = 0.63

angleX = 94.30 | angleY = 4.38 | angleZ = 91.07
inclinacaoX = 4.30 | inclinacaoY = -85.62 | inclinacaoZ = 1.07

angleX = 93.94 | angleY = 4.01 | angleZ = 91.00
inclinacaoX = 3.94 | inclinacaoY = -85.99 | inclinacaoZ = 1.00

angleX = 93.64 | angleY = 3.67 | angleZ = 90.79
inclinacaoX = 3.64 | inclinacaoY = -86.33 | inclinacaoZ = 0.79

angleX = 93.91 | angleY = 4.00 | angleZ = 91.07
inclinacaoX = 3.91 | inclinacaoY = -86.00 | inclinacaoZ = 1.07

angleX = 93.22 | angleY = 3.36 | angleZ = 91.14
inclinacaoX = 3.22 | inclinacaoY = -86.64 | inclinacaoZ = 1.14

angleX = 94.13 | angleY = 4.08 | angleZ = 89.98
inclinacaoX = 4.13 | inclinacaoY = -85.92 | inclinacaoZ = -0.02

angleX = 95.53 | angleY = 5.52 | angleZ = 90.68
inclinacaoX = 5.53 | inclinacaoY = -84.48 | inclinacaoZ = 0.68

angleX = 94.78 | angleY = 4.74 | angleZ = 90.27
inclinacaoX = 4.78 | inclinacaoY = -85.26 | inclinacaoZ = 0.27

angleX = 94.37 | angleY = 4.36 | angleZ = 90.61
inclinacaoX = 4.37 | inclinacaoY = -85.64 | inclinacaoZ = 0.61

angleX = 94.81 | angleY = 4.86 | angleZ = 90.99
inclinacaoX = 4.81 | inclinacaoY = -85.14 | inclinacaoZ = 0.99

angleX = 94.18 | angleY = 4.14 | angleZ = 90.21
inclinacaoX = 4.18 | inclinacaoY = -85.86 | inclinacaoZ = 0.21

angleX = 93.98 | angleY = 4.02 | angleZ = 90.83
inclinacaoX = 3.98 | inclinacaoY = -85.98 | inclinacaoZ = 0.83

angleX = 96.29 | angleY = 6.44 | angleZ = 91.61
inclinacaoX = 6.29 | inclinacaoY = -83.56 | inclinacaoZ = 1.61

angleX = 94.75 | angleY = 4.81 | angleZ = 91.05
inclinacaoX = 4.75 | inclinacaoY = -85.19 | inclinacaoZ = 1.05

angleX = 96.24 | angleY = 6.30 | angleZ = 91.16
inclinacaoX = 6.24 | inclinacaoY = -83.70 | inclinacaoZ = 1.16

angleX = 93.92 | angleY = 3.89 | angleZ = 90.30
inclinacaoX = 3.92 | inclinacaoY = -86.11 | inclinacaoZ = 0.30

angleX = 91.00 | angleY = 6.62 | angleZ = 83.49
inclinacaoX = 1.00 | inclinacaoY = -83.38 | inclinacaoZ = -6.51

angleX = 92.17 | angleY = 5.06 | angleZ = 85.46
inclinacaoX = 2.17 | inclinacaoY = -84.94 | inclinacaoZ = -4.54

angleX = 93.32 | angleY = 8.80 | angleZ = 81.89
inclinacaoX = 3.32 | inclinacaoY = -81.20 | inclinacaoZ = -8.11

angleX = 92.09 | angleY = 7.32 | angleZ = 83.02
inclinacaoX = 2.09 | inclinacaoY = -82.68 | inclinacaoZ = -6.98

angleX = 93.41 | angleY = 6.86 | angleZ = 84.08
inclinacaoX = 3.41 | inclinacaoY = -83.14 | inclinacaoZ = -5.92

angleX = 87.27 | angleY = 4.24 | angleZ = 93.25
inclinacaoX = -2.73 | inclinacaoY = -85.76 | inclinacaoZ = 3.25

angleX = 86.52 | angleY = 4.85 | angleZ = 93.37
inclinacaoX = -3.48 | inclinacaoY = -85.15 | inclinacaoZ = 3.37

angleX = 89.07 | angleY = 2.84 | angleZ = 92.71
inclinacaoX = -0.93 | inclinacaoY = -87.16 | inclinacaoZ = 2.71

angleX = 88.29 | angleY = 7.31 | angleZ = 97.14
inclinacaoX = -1.71 | inclinacaoY = -82.69 | inclinacaoZ = 7.14

angleX = 88.26 | angleY = 6.87 | angleZ = 96.68
inclinacaoX = -1.74 | inclinacaoY = -83.13 | inclinacaoZ = 6.68

angleX = 88.08 | angleY = 6.74 | angleZ = 96.49
inclinacaoX = -1.92 | inclinacaoY = -83.26 | inclinacaoZ = 6.49

angleX = 88.71 | angleY = 5.13 | angleZ = 95.00
inclinacaoX = -1.29 | inclinacaoY = -84.87 | inclinacaoZ = 5.00

angleX = 90.17 | angleY = 5.71 | angleZ = 95.75
inclinacaoX = 0.17 | inclinacaoY = -84.29 | inclinacaoZ = 5.75

